"pagina","texto","error"
23,"RT EA REI ez Dra CU ON RE et DB i U
i 24 RONDAVYES MALLORQUINES
mapava gota, P jo que hu havia de fer de tot. A la
fi, dins un barranch, la vatx arribar a retre: va te-
nir la mala sort de ferir a un penyal, amb sa fúa
que dupa tota s'esclaté, p se posa a ratjar mel p
mel. No pondér jens, però en devallava un seragap
com es còs d'un homo: jo m'hi aboch, p pech una
panxada que me durú set dies. — 4 Y tanta mel s'ha
de perdreP vatx jo dir. Perqu'heu de pensar p
creure que, com més anava, més bon rop en ve-
nia: aleshores ja n'hi havia una embassada que fe-
pa leredat. Y gque fas jo2 Me pas sa mú dins s'es-
quena, me trob dues pusses, en fas dos odres, P
los umpl de mel. Sent picor a n'es clotell, grat,
trob un pop, l'esclaf, p e-hi va haver de dins un ase
amb uns escorbeps, en Bau/os, un ase lo més abri-
nat p falaguer. Li pos un odre a cada banda, p:—
jArri, Baulosl—li enfloch cimada, p cap a cà-nos-
tra. M'era fet tan enfora, que per arribarhi vatx
haver de passar per un poble, ahont la gent era
més llépola que ses serps. Jo hu vatx conèxer tot
d'una que hi vaix esser, perque vatx reparar que
tots tenien uns morros prims prims, Ç es una senya
que no ment: morros prims, llépol segur. Jo vatx
dir: aquí e-hi ha un sou que gonpar. Y ja som partit,
erida qui crida:—j Hala, qui""m barata ous amb mell
ihala, dones, una mel de primeral Bona la vatx
haver dita. Al punt vatx estar revoltat de dones,
que se'n venien amb sos ous dins es devantalet o
dins un paner, P totes volien esser devant, per
",NA
24,"TO RACC LED a Es de run is tl ge Nac: csi dl Em Pres , a NS al
EN PERE TÒRT 25 El

EI ie TE Bloc es len eco dr d Dret EE JS Dg è ea :
por de no esserhi a temps. Tota sa mel amb una
exhalació va haver volat, p més n'hagués dupta. 8
Ets ous casi no cabéren dins dos covos, los ferm i
demunt ets escorbeps, p cap a cà-nostra s'ha dit. es
Com ma mare va veure's viatje, no se'n poria i
avenir. —ç Y ara qu'hem de fer tants d'ous2—iBon :
fonopl dich jo, posau lloques, y farem una llocada

orba. Posàrem sèt lloques, Y, hala cova quí cova, La
p les axicúàvem dues vegades cada dia, los doné-

vem bon blat, Y apgo ben clara, p encara no pega- er
ven sa derrera espipellada, ja les teníem colgades

altra volta per que ""IS ous no refredassen. Dins j
ses tres setmanes de covatslos tocava es néxer, pe-

rò ell passaren ses tres setmanes, passà un més, P

un altre més, passaren sèt mesos, Y encara no hi

havia cap poll qu'hagués picat, ni se vepa senya

de res. —V Que no veus, depa ma mare, qu'aquests :
ous son de guix2 jja te pegaren bon porro, jal
iMés te 'n merepsl equi t'havia fet cocouer a tu2

Tu haguesses dupta sa mel...-—Ma mare, vatx jo i
dir, ni per axò ni per altre tant no mos hem d'apu- '
rar. dES polls no nexen perque no piquen2 Ja hi

haurú qui picarú per ells. No endevinaríau quina i

la vatx fer: pos els escorbegs a n'en Baulos P ets
ous dins dos covos, Y cap a una era s'ha dit. En I
trob una que m'agrada. Los hi esténch, prench es
Cap des sedeny, me pos a 's mitx, encivell cimada

Y altra a n'en Baulos, p s'animal ja es partit a ba-

tre, p bat qui bat ets ous. Y heu de creure Q pen-
",NA
25,"P a a a dt A da a i IC Ma
26 RONDAYES MALLORQUINES
sar que de cada ou que'n Baulos feria, Zas/ sor-
tia un pollet més sé qu'un gra d'ap p tot etxerevit,
p tot d'una ja Se'n anava corrents a pasturar.
éQue me'n direuP dins mitj hora vaig tenir tants
de polls com ous havia dupts a s'era. Me'n ho men
tot a cà-nostra, P dins un parep de setmanes no hi
havia qui s'hi oís de polles p de gallets que hi cap-
llevaven. Un dia, jo abeurava en Baulos a un ri-
bell, Y un dianxa de poll no tengué altra part
ahont picar més que sa coa de s'animal. S'animal
li tira cossa, y li engruna sa cresta. Sa ferida
pren malament, comensa a enmaleirse de bon de
veres. —Aquesta cresta mos durú un mal resultat,
diu ma mare. —Lo millor que poreu fer, diu una
vepnada, posarhi repna. Me'n vatx a un pinar a
durne, en duch, n'hi pos, sa cresta s'adoba, però
com me ""n tem, m'hi va esser nat un pi. —/ EsJ de-
pa la gent que'l vepa, jaquest gallet que li es
sortit un pi a sa crestal Y es pi que crexia més
quiuna carabassera: al punt va esser com sa teu-
lada, llavò com es campanar, al punt pegú a n'es
nigulats, p ja no li destriaven s'up. Feya un parep
de rames 9 vatx reparar que a una, un corp e-hi
tenia 'S niu. Me pos a tirarli pedres p terrosos per
descarabutar-le-hi: vatx notar que fepa un gran em-
papussat, p dich: —d Amb aquestes he d'estar2 Ja
m'enfil per sa soca, y per amunt p per amunt.
Arrib a sa primera rama, m'hi trob un hort, sa
cosa més de veure: allú uns pebrers que pegaven
",NA
26,"EN PERE TÒRT 21 el

p'es pits, allà tomatigueres com un llensol, allà ca- À
rabasseres amb unes carabasses V carabassots com l
a botes de mena, allà sindries p melons que fepen /
més d'un quintar. N'aluy una de sindria distorja y
que fepa cara de bona ferm. —La petgellarem a n'""
aquesta, vatx jo dir.—-Me trech es guinavet, le
hi afich, m'hi cau de dins. Hep enfony es bras. 0
Fas es forat més gran, fins que hi vatx poder pas-
sar, y me'n hi entr. Sí, fiets, dins sa sindria vatx
haver d'entrar per treure aquell trapdor de guina-
vet. Cerca qui cerca, per lloch el vepen lluir. Des
cap d'una estona passa un homo, y diu: —Germó,
ép que cercau, Si no es massa preguntar2—-Un
guinavet que m'es capgut dins aquesta sindria.—
jUn guinavetl diu ell. Ja'u poreu dexar anar, que
jo fa sèt anps que cerch una guarda d'egos, es- l
quellades de nou, que m'hi escaparen, Y no me
som aturat de cercar, P ni les he trobades ni sabu- 1
des noves. —Germanet, dich jo, per amor de Deu
sia, de s'avis que m'heu donat. —Surt de sa sin-
dria al acte, úls es cap, vetx qu'es pi tenia una
altra rama més amunt, m'enfil per sa soca, Y fins
a n'aquella rama, Y me trob qu'encara en té una
altra, part damunt, hep putx, Y vatx pujar fins a
sèt rames. S'up de més amunt casi arribava a n'el l
cel. Llavò me vatx recordar que ma mare sempre
'm fepa passar parènostros per na Xino (), una I

(1) Diminutiu de Francina,
",NA
27,"28 RONDAYES MALLORQUINES

germaneta meua que s'era morta, ja dona feta,
com jo mamava, p dich: —Tan aprop que som del
cel, me convendria cridar na Xinop, veam que
conta. Y ja me pos a cridar: —jXinopl jo Xinopl
iXinov, dichl En Pere som, es teu germanet. Va-
ja Si treus es cap una mical Tant vatx cridar, que
assetsuaxí s'obri una finestra, y guapta una fadri-
neta com un sol. Jo no he vista una cara més gua-
pa p més agradosa map, ni crech qne n'hi haja. —
iPerel gstu per aquí diu ella.—geY tu ets sa meua
germana7 dich jo, tot esglapat, jsabs qu'ets de ga-
rridal —Ell aquí dalt no hi ha res lletx ni res dolent,
diu ella: però, 4quin senyal per aquíP —Fieta meua,
dich jo, has de ereure p pensar que'm som enfilat
per aquest pi, he volgut arribar a n'es cucupó, p

aquí me tens. Però, jp tu pareps una repnal jsabs
que vas d'enllestidal ijsabs que'u ets de guapal... jo
fieta meual.., pell tu embellepsi Ja l'hi deus campar
bé per aquí daltl —Bé de totl diu ella.—Y gcom
no m'hi dexes pegar just un aguapt2 dich jo. Ella
me feu de resposta: — Da'm sa ma. La hi don, me
pega tirada, m'alsa en pes, p me té dins el cel. jO
fietst Com jo me vetx allú dins p estench un poch
la vista, romaneh tot d'una enlluernat de tanta cla-
ror, hermosura p galania. De tant que vatx veure,
no sé lo que vatx veure, de tant que m'agradà, de
tant que m'omplí's cor, no sé lo que 'm matjench
com en paríl No'n vup parlar, per po' de sopar-ho,
iQue havia de sebre jo lo que'm passaval p jque
",NA
28,"L
EN PERE TÒRT 29 :
havia de pensar a devallar, Deu meu de la glorial Es
P'es meu gust seria quedat pera sempre, però sa
germana me digué: —Fiet, te'n hauràs de tornar i
a córrer, fins a la fi, Sa carrera que Deu te té desti-
nada. 4 Y no pot esser per cap vent del mon, es A
quedar jo aquí daltP—No, fiet, diu ella: anem a sa TH
finestra, p t'amollaré demunt sa cucupya des pi. 31
Guaptúórem per sa finestra, p es pi ja no era en xa
aquell endret, sino més de mitja hora lluny, per- I
que a n'es diantre de gall, com jo estava embada- i
lit dins el cel, li pegú per anars-en a encalsar lla-
gosts, p com es pi estava demunt sa seua cresta, ni
ja'u crech que's pi se'n anú amb ell, y me dexú
plantat. —j Aquesta sí que m'es brutal vatx dir jo,
ép ara com e-hu farem2 Na Xinoç e-hi pensa una Ra
mica, y diu:—No res, jo tench una mala fi de cap-
dells de fil, perque en el mon era molt filadora, P
aquí dalt, poques vegades me veuen sense sa filoa 3
p es fus. Ydò nuarem tots es capdells un amb al- l
tre, te fermaré p'es dit gros des peu, t'amollaré a
poch a poch, 9 amb tant de fil com e-hi ha, es segur A
que bastarú per arribarte efi terra, P, Si no basta,
lo que falt serà un tres Y no res. Dit p fet, se'n
va a dur es capdells, Ç no n'havía vists tants map:
fepen es comú d'una montanpa. Com los tengué s
tots nuats, me ferma un cap a n'es dit gros des pèu
endret, p me diu: — No res, senye't, que no tengues l
cap denou, p ja'""m comanarús molt ma mare, p feps
bonda, que se's mester. Me seny, trech es cap a I
",NA
29,"30 RONDAYES MALLORQUINES
sa finestra, p per avalll p ja es partida a amollar-
me, Ç amolla qui amolla fil, V jo per avall, p per
avall. —jA, gallet del dimonil depa jo, sahont dimo-
ni te'n havíes d'anar a caminarP jLes has de pagar
Cares a n'aquestes passes, jo t'ho asseguri No te'n
escapesi jt'he de menjar fritl—Y na Xinop amolla
qui amolla fil, Y jo per avall p per avall, p casi no
era conexedor que m'hi acostés a la terra. —y El
dimoni serà per esser endinsi depa jo, yja no hi arri-
baré mapl A la fi, Sent na Xinop que depa:—j Ja
no e-hi ha pus fill — /No e-hi ha pus filP /Bona l'hem
fetal Faltaven setcentes braces per arribar en te-
rra. Me pòs pensa qui pensa, de quin cap faría es- I
telles, p acab per dir, cridant amb tota sa forsa: —
jEncara hi falten unes quantes braces per arribar
abax, però amolla axí metex, p serà lo que Deu
voldràl M'amolla, 9 allò hu va esser una fúa que
vatx pegar cap avalll Vos assegur que hi devalla-
va deprèssa, p sense engaltarme gens, fins que,
- — eclaclachl pech abax amb so cap devant, P, amb sa
metexa grulada p sa forsa que dupa es meu còs, es
cap va quedar sembrat sèt pams dins sa terra. —
iBona l'hem fetal dich jo com vetx es pas, ja tor-
nam tenir es ram dins es revell. Ell ara, per treure
es cap, no'm queda altre remep qu'anar a cercar un
càvech de cà-nostra, per decantar Sa terra des cos-
tats. —Me'n hi vatx, duch es cúvech, me pos a pe-
: gar cavegades, p ben alerta que hi anava Y prou
osment que hi tenia a no ferir ni de resquillada es
",NA
30,"EN PERE TÒRT 31
————————————s —e—e É-eLÉéÀéÉéíé————————— — :
pobre cap meu, però pech cavegada per arrabassar Bi
un mach que estava fort ferm, p, sense voler, en
lloch de ferir es mach, me fer aquest up, p el me
vatx fer benes. Per axò es que som tòrt... 4 E-hu
veps com e-hu va esser un cop que vatx errarP
Ara voltros metexos digau si amb raó ningú'm pot
dir una paraula perque me falt un up.

En Pere aquí acabé's seu cap de fil. 3
El reg, la reina, sa seua fia, tots els de la cort, /
boca badada sempre, no li havien perduda mitja
parauleta, .p se fepen creus de tot allò qu havien
sentit. Com los va haver espassat una mica s'es- s
glap, tots varen caure a dir:
—Però bé, 4p des cap que'n feres2
-—jQue n'havia de ferl respòn ell més fresch
qu'una cama-rotja. El me vatx posar demunt ses i
espatles, se confegí de tot, me'n vatx a cà-nostra,
p Sa primera que vatx fer, fonch menjarme frit es
gallet que m'havia feta tan bona endemesa.
Aquí tothom acabà de veure que tota aquella
eontarella tan llargaruda p desbaratada, en Pere la
s'havia treta des cap per riure-se des sant p ses
xeremies. Li feren esplicar s'endevinaya, p tothom
quedà convensut de que tòrt poria esser V mitx
afortunat, però qu'era més viu qu'una centella, que
donava sèt voltes a tots es més desperts, que bol-
cava tothom, Y ningú'l bolcava a ell, que per es-
tret que se vés, sempre trobava portell o forat per
hont sortir, P que per axò era s'homo més trempat
",NA
31,"32 RONDAYES MALLORQUINES
y més avengut, qu'era fet aposta per sa fia del
rep P per un dia dur sa corona.

Tothom, P el rep es primer, trobava qu'era
axí, també hu trobú la princesa, que'l se comensó a
mirar amb bon up Y a posarli voluntat, Y arribà a
dir:

—Per part meua, mos porem casar en voler.

—iYdò endavant ses atxesl digué en Pere,
fent un alè ben gros p pegant un bot ben alt.

Enrengaren la cosa, p se va fer s'esclafit, se
casaren. El rep los donà sa corona, p ells dos va-
ren viure anys Ç més anps, amb molta pau p con-
còrdia ells amb ells p amb tothom, P... encara son
vius, Si no son morts: p al cel mos vejem tots ple-
gats, Amen.

Torre Nova, Agost de 1896.

3
",NA
32,"Espa"" ea ar da a èeei ) es a le qu a EA
Ri MU i ns RR
LA FIA DEL SOL Y DE LA LLUNA Ò
———— HX OO Ciiiie —
'anp tirurany, es Sol p sa lluna tengueren
una fia, garrida, gentil, resplendent com
ells, viva com una centella, plena d'etcís
p d'encant: robava's cor de tots es qui la vepen.

Quant va esser grandeta, un dia agafa sa mare, di
Ç li diu:

—Ma mare, jo vuy venir amb vos, tench unes
ganes que'm roeguen de trescar p veure coses.

—Per amor de Deu (diu sa lluna) lleve't axò
des cap, fieta meua estimada, lleve't'ho per amor de 6
Jesucrist. iSabs quin camí tan llarch qu'he de fer

(1) La'm contaren na Rafela Ca/ona, de Son Servera, y 108S
nobles senyors el M. Il. D. Lloatxim Dameto y Dezcallar,
Pre, Canonge de la Seu de Mallorca y el seu germú D. Nicolau,
",NA
33,"34 RONDAYES MALLORQUINES
cada día, y que hi he d'anar depressal... A ses —
quatre passes ja't tendríem retuda.

—eY tan Hlonja'm mirau2 (diu sa pitxorina).
No'm don per cap atlota a caminar. No hauria de
esser fia vostra p de mon pare.

— Es ver (diu sa lluna) que hu ets caminant,
però per poderme seguir jsabs que n'hauràs de
roegar de trossos de pa encaral

—çc Que no'u veuré jo, (reprenia sa fia) que, Si
mos provàvem, no més vos veuria partir2 Vos lo
qu'heu de fer, donaume sa mà, p e-hu veurem Si
vos seguiré ó no vos seguiré.

Sa lluna a la fi, per no sentirla pus, p més de
mitx enfadada, l'agafa per un bras, Y diu:

A —ijEncaradissa qu'etsl jiHala, pdò, aneml...
iDepressal... jO quina atlota, Deu meul iNo, y ja
pots trompitxar de casta forta y posarlos a bon
lloch a n'aqueps galindons teusl

Partiren, Y hala qui hala per amunt p de d'allà,
just la bala.

ija se'n hi anaven ben afuades, V vos assegur
que'n fepen de camíl

A la llego se conexia que sa mare no s'havia
d'estorsar gens, p qu'es seu pas era natural com
s'apgo qui brolla d'una eufana, però que sa fia e-hu
havia de fer de tot, però de tot, y encara li venia
tan just tan just es seguir.

Des cap d'un parep d'hores, sa mare ja la se'n
havia de dur mitx rossegant. A la fí acabà's me-
nuts de tot, ses cames se cegaren, p eczala crit:
",NA
34,"ds É am a là reu
LA FIA DEL SOL Y DE LA LLUNA 35
—iMa mareta, no puch pusl
—çE-hu veus2 diu sa lluna: no m'has enganada
de res.
—jMa mareta, vos dich que no puch pusl jAp
aquex bras que'm teniu, que se rompl jAp aques-
tes cametes meues, aquests peuets meusl £Que no
los veps que'm ratjen sanch2 I
—Més te'n mereps, diu sa lluna. No,p jo no'm
puch aturar ni manco tornar arrera... jJa m'has
posada dins un bon marruelll.... No res, ara mos
trobam a s'endret d'una plaja: te plantaré unes ca-
setes a sa vorera de s'apgo, t'hi dexaré, p, Si tu
fas bonda, no't faltarà res de lo necessari, perque
ton pare de dia, p en sa nit jo, o es nostros cosins
ets estels, no 't perdrem de vista map. /
-——Però, s9 Si s'ennigula2
—- Per niguls que passen, no s' aturarún dalt ses
casetes: los arruxarem.
Era ver que se trobaven a s'endret d'una È
plaja, una plaja de bones tapes, uberta, lluny de
tot alberch d'homos, arrecerada de muntanyes Ves-
tides de pinars Y de garrigues. A's mitx, fepa una
tenassa, que ses ones, bouetjant amb s'embatol,
besaven lleugueres p amoroses: allà dalt planta ses
casetes sa lluna, unes casetes blanques p hermoses
per defora, però més blanques p hermoses per de-
dins. Hep havía de tot, no hi faltava un amèn.
Allà hi dexú sa seua fieta, més regositjada que
una repna. :
",NA
35,"36 RONDAYES MALLORQUINES

La mar no va treure alga pus, per que lengués
ben clara s'apgo per nadar, Y ben neta S'arena

per passetjars'hi, p jeure-hi si volia jeure.

Els embatols no dupen més idea que atabu-
xarli's vestit, fregarli ses galtes, p jugar amb sa
seua cabepera, qu'era ben llarga, p la dupa amo-
llada. Es niguls no li taparen pus sa cara de son
pare p de sa mare, per molts que n'hi hagués de
vegades, p per gruxats que fossen, sempre li de-
xaven forat o retxillera per ont rebia sa seua mira-
da vitenca p resplendent. Ses montanpoles, puigs
p comallars li trametien p'es vent mil flapres p
remors, Y li oferien frupts seuvatjes, lo més sa-
nitosos p mangívols. No s'hi acostaren pus bar-
rumbades, ni map hep resplandien trons, ni hi
coetjaven vergues de llamp, ni s'hi avalotava jens
la mar. Els aucells casi no dormien, per tenir més
temps de fer-li mil cantades, ses més garrides que
sabien: es més empegueidors la se miraven d'en-
fora tot embadalits p elevats, es més atrevits no
tenien aturap volatetjant entorn seu, P se posaven
demunt es seu cap, dalt ses seues espatles p dins
sa seua metexa mú. Es pexos, lluents gç llambri-
ners, trepen es capet a flor d'apgo per contem-
plarla més a pler, P vos assegur que la s'hi mira-
ven arreu, pegaven mil fues p enfuptes, eren com
a llampons, anant p venint per entreteniria Ç ferla
riure, se dexaven agafar d'ella, p xalaven de bo,
com se vepen dins ses seues mans.
",NA
